Team,Lifetime Points
Independent,656841
FOX,545385
GRPT,199483
PG,199483
Liquid,192711
Qanba,157351
GGP,143943
CYG,196911
BX3,131986
Mouz PxP,131512
RB Method,131057
RZR,130129
YD,125663
RB,111660
AW,109089
DNG,96993
ZW,173208
Cyclops,180218
RB CYG BST,83716
PIE Rise,82144
MD,79213
Rise,78136
GW,75926
HORI SZ,68107
EG,67915
Splyce,65815
NASR,64770
Method,63142
UYU,62909
G-Fuel,58382
GHOST,57069
Mouz,56142
AB,55217
CYG BST,195911
Prophecy,52575
Circa,51417
UM,51044